	U	pvalue	MoreIn	qvalue	Pathways
EC:1.1.1.306	2548.0	0.01991794848928725	skin	0.03675969958462936	
EC:1.1.1.308	2041.0	0.0011132883837599403	swab	0.002929057629597186	
EC:1.1.1.31	2595.0	0.009723343928243908	skin	0.019826415365672416	Valine, leucine and isoleucine degradation;Metabolic pathways
EC:1.1.1.310	1181.0	6.288941739710131e-06	skin	2.9054095855809872e-05	
EC:1.1.1.312	1471.0	7.159205107941433e-05	swab	0.0002514538542838542	Tyrosine metabolism;Microbial metabolism in diverse environments;Aminobenzoate degradation;Benzoate degradation;Metabolic pathways
EC:1.1.1.313	936.0	0.14757404825592718	swab	0.20536104463353003	
EC:1.1.1.316	74.0	0.9057940914405992	swab	0.9297268546856078	
EC:1.1.1.320	2662.0	0.825473280554933	swab	0.8613109010278057	
EC:1.1.1.325	0.0	0.0033456181158508813	swab	0.007678408959018277	Folate biosynthesis;Metabolic pathways
EC:1.1.1.327	0.0	0.17971249487899976	swab	0.2383168174495849	
EC:1.1.1.328	2806.0	0.18249344733267048	skin	0.24140598877215966	
EC:1.1.1.333	2195.0	0.14974706193728643	swab	0.2077230645161191	
EC:1.1.1.335	919.0	1.538317170869613e-05	swab	6.389243550466218e-05	Amino sugar and nucleotide sugar metabolism;Metabolic pathways
EC:1.1.1.336	1663.0	1.8794176521807456e-06	swab	9.853123426506409e-06	Amino sugar and nucleotide sugar metabolism;Metabolic pathways
EC:1.1.1.338	880.0	0.006256581994941569	swab	0.01334300705256028	
EC:1.1.1.339	0.0	0.0002930525201924893	swab	0.0008967658665117805	Polyketide sugar unit biosynthesis;Biosynthesis of antibiotics
EC:1.1.1.34	143.0	0.17184940048457142	swab	0.23338785246761795	
EC:1.1.1.342	21.0	8.709526130355564e-05	swab	0.00029570914909254843	Amino sugar and nucleotide sugar metabolism;Metabolic pathways
EC:1.1.1.343	2065.0	6.580206606291757e-05	swab	0.00023303082666983557	Biosynthesis of antibiotics;Microbial metabolism in diverse environments;Biosynthesis of secondary metabolites;Metabolic pathways;Pentose phosphate pathway
EC:1.1.1.346	3282.0	0.44503318618994714	swab	0.5204625397814636	
EC:1.1.1.35	1391.0	7.546089660819294e-09	swab	6.725452410205196e-08	Valine, leucine and isoleucine degradation;Fatty acid degradation;Geraniol degradation;Caprolactam degradation;Tryptophan metabolism;Butanoate metabolism;Lysine degradation;Microbial metabolism in diverse environments;Carbon fixation pathways in prokaryotes;Metabolic pathways;Benzoate degradation;Fatty acid elongation;Biosynthesis of antibiotics;Biosynthesis of secondary metabolites;Toluene degradation
EC:1.1.1.350	176.0	0.09986536162543821	swab	0.14803326993542087	
EC:1.1.1.36	2934.0	0.09168956835351448	swab	0.13782430548711697	
EC:1.1.1.363	2511.0	0.004980878119154838	swab	0.010927280304484307	Biosynthesis of antibiotics;Microbial metabolism in diverse environments;Biosynthesis of secondary metabolites;Metabolic pathways;Pentose phosphate pathway
EC:1.1.1.367	1396.0	0.0058038810364818205	swab	0.012527246757855312	
EC:1.1.1.369	2480.0	0.0038466137014336117	skin	0.008670080829680186	
EC:1.1.1.37	1021.0	1.3850104426095702e-11	swab	2.632188164305497e-10	Pyruvate metabolism;Biosynthesis of secondary metabolites;Carbon fixation in photosynthetic organisms;Microbial metabolism in diverse environments;Glyoxylate and dicarboxylate metabolism;Carbon fixation pathways in prokaryotes;Metabolic pathways;Cysteine and methionine metabolism;Methane metabolism;Citrate cycle (TCA cycle);Biosynthesis of antibiotics
EC:1.1.1.370	91.0	0.006231682951187158	swab	0.013342912745334666	Microbial metabolism in diverse environments;Metabolic pathways;Inositol phosphate metabolism
EC:1.1.1.371	576.0	9.600226921303224e-05	skin	0.0003228755563626981	Microbial metabolism in diverse environments;Metabolic pathways;Inositol phosphate metabolism
EC:1.1.1.373	21.0	9.131873601740732e-09	swab	7.844609491615834e-08	
EC:1.1.1.376	535.0	2.4792617639013338e-08	swab	1.9936619973627642e-07	Ascorbate and aldarate metabolism
EC:1.1.1.377	156.0	0.00012931479682632378	swab	0.0004222967181855062	Microbial metabolism in diverse environments;Metabolic pathways;Fructose and mannose metabolism
EC:1.1.1.378	156.0	0.00012931479682632378	swab	0.0004222967181855062	Microbial metabolism in diverse environments;Metabolic pathways;Fructose and mannose metabolism
EC:1.1.1.38	1918.0	1.1824884017580832e-05	skin	5.0994812325817337e-05	Pyruvate metabolism
EC:1.1.1.380	367.0	1.4183365197665278e-06	swab	7.75913507872277e-06	Pentose and glucuronate interconversions;Metabolic pathways
EC:1.1.1.381	1869.0	0.0023167554823336767	swab	0.005561773262302732	Glycine, serine and threonine metabolism;Metabolic pathways
EC:1.1.1.385	0.0	1.1741945398998534e-06	swab	6.540630523035903e-06	Biosynthesis of antibiotics;Metabolic pathways;Biosynthesis of secondary metabolites - other antibiotics
EC:1.1.1.387	224.0	0.13609228815598898	swab	0.192654801036175	
EC:1.1.1.388	96.0	0.7368753708069717	swab	0.7876943618971077	
EC:1.1.1.4	2406.0	0.009525032163827347	swab	0.01947805334457619	Butanoate metabolism
EC:1.1.1.40	2850.0	0.0562228975591709	swab	0.0901505081552223	
EC:1.1.1.41	611.0	1.8004751077270183e-14	swab	8.752764216882027e-13	Biosynthesis of antibiotics;Microbial metabolism in diverse environments;Metabolic pathways;Citrate cycle (TCA cycle);Biosynthesis of secondary metabolites
EC:1.1.1.42	1566.0	1.0710971715532781e-07	swab	7.714063467853407e-07	Biosynthesis of secondary metabolites;Glutathione metabolism;Microbial metabolism in diverse environments;Carbon fixation pathways in prokaryotes;Metabolic pathways;Citrate cycle (TCA cycle);Biosynthesis of antibiotics
EC:1.1.1.43	539.0	0.46470209994046485	swab	0.5387521906626853	
EC:1.1.1.44	2065.0	6.580206606291757e-05	swab	0.00023303082666983557	Biosynthesis of secondary metabolites;Glutathione metabolism;Pentose phosphate pathway;Microbial metabolism in diverse environments;Biosynthesis of antibiotics;Metabolic pathways
EC:1.1.1.47	2391.0	0.002643953088390067	skin	0.006249078073001496	Microbial metabolism in diverse environments;Metabolic pathways;Pentose phosphate pathway
EC:1.1.1.48	3069.0	0.7827038923285287	swab	0.8243247787743588	
EC:1.1.1.49	2511.0	0.004980878119154838	swab	0.010927280304484307	Biosynthesis of secondary metabolites;Glutathione metabolism;Pentose phosphate pathway;Microbial metabolism in diverse environments;Biosynthesis of antibiotics;Metabolic pathways
EC:1.1.1.51	588.0	0.0003508216587392367	swab	0.0010598976384791345	Steroid hormone biosynthesis;Microbial metabolism in diverse environments;Steroid degradation;Metabolic pathways
EC:1.1.1.53	740.0	5.327166370607376e-12	swab	1.1627355986458344e-10	Steroid hormone biosynthesis;Metabolic pathways
EC:1.1.1.56	1036.0	4.7020966913094154e-05	skin	0.00017222234285463767	Pentose and glucuronate interconversions;Metabolic pathways
EC:1.1.1.57	3060.0	0.22635759358661944	skin	0.29273209956576723	
EC:1.1.1.58	2733.0	0.42391392264556815	swab	0.5005192578339475	
EC:1.1.1.6	1697.0	6.805199144448032e-07	skin	4.096746080651687e-06	Glycerolipid metabolism;Metabolic pathways;Propanoate metabolism
EC:1.1.1.60	3170.0	0.2888151690888643	swab	0.3619072329707561	
EC:1.1.1.61	15.0	2.3318599687460468e-11	swab	4.0551613602827593e-10	Butanoate metabolism;Metabolic pathways
EC:1.1.1.65	222.0	5.504859607700306e-10	skin	6.615109382511773e-09	Vitamin B6 metabolism;Microbial metabolism in diverse environments;Metabolic pathways
EC:1.1.1.67	2539.0	0.036794998784797944	skin	0.06271275091687872	
EC:1.1.1.69	1373.0	5.676184103385473e-09	swab	5.122935779384611e-08	
EC:1.1.1.76	2783.0	0.03689037171170728	swab	0.06277526260249951	
EC:1.1.1.77	902.0	0.046297793627364386	swab	0.07594400350378254	
EC:1.1.1.79	2485.0	0.004012022307313685	swab	0.009014407264016778	Pyruvate metabolism;Glyoxylate and dicarboxylate metabolism;Metabolic pathways;Microbial metabolism in diverse environments;Biosynthesis of secondary metabolites
EC:1.1.1.8	121.0	0.2641496340638618	swab	0.3359191838659931	
EC:1.1.1.81	1176.0	2.175155725016738e-10	swab	2.8369866437870744e-09	Glyoxylate and dicarboxylate metabolism;Glycine, serine and threonine metabolism;Metabolic pathways;Biosynthesis of secondary metabolites
EC:1.1.1.82	5.0	1.0	swab	1.0	
EC:1.1.1.83	2929.0	0.0891665106382144	swab	0.13440956043350288	
EC:1.1.1.85	1517.0	5.20480895710213e-08	swab	4.0483950397241665e-07	Valine, leucine and isoleucine biosynthesis;Biosynthesis of secondary metabolites;C5-Branched dibasic acid metabolism;Metabolic pathways
EC:1.1.1.86	2894.0	0.07303302916516857	swab	0.11206431089260802	
EC:1.1.1.87	1534.0	0.8221308212068384	swab	0.8590805210363592	
EC:1.1.1.88	2983.0	0.3259295328285836	swab	0.40112961491388976	
EC:1.1.1.9	1826.0	0.011115911322674338	skin	0.022452251481775643	Pentose and glucuronate interconversions;Metabolic pathways
EC:1.1.1.90	1950.0	0.005254575742459402	swab	0.01146891582971496	Phenylalanine metabolism;Xylene degradation;Microbial metabolism in diverse environments;Metabolic pathways;Tyrosine metabolism;Toluene degradation
EC:1.1.1.91	2268.0	0.6962345807130346	swab	0.753379001657226	
EC:1.1.1.93	2929.0	0.0891665106382144	swab	0.13440956043350288	
EC:1.1.1.94	2503.0	0.004662337454772201	skin	0.010345165783981055	Glycerophospholipid metabolism;Biosynthesis of secondary metabolites
EC:1.1.1.95	948.0	3.5747591273037512e-12	swab	8.048852392950236e-11	Glycine, serine and threonine metabolism;Microbial metabolism in diverse environments;Biosynthesis of antibiotics;Cysteine and methionine metabolism;Methane metabolism;Metabolic pathways
EC:1.1.2.3	2987.0	0.12210316489718195	skin	0.17552329953969906	
EC:1.1.2.4	2926.0	0.0876797182790035	swab	0.13263572659037376	
EC:1.1.2.6	30.0	0.15781136896845493	swab	0.21721912369596208	
EC:1.1.2.7	93.0	0.00047186878731862063	swab	0.0013695079186899994	Biosynthesis of secondary metabolites;Chloroalkane and chloroalkene degradation;Glycolysis / Gluconeogenesis;Microbial metabolism in diverse environments;Metabolic pathways;Methane metabolism;Biosynthesis of antibiotics
EC:1.1.2.8	2673.0	0.04730853573958517	swab	0.07724653278394861	
EC:1.1.3.12	0.0	0.017960477526078766	swab	0.033640509131595865	Vitamin B6 metabolism;Microbial metabolism in diverse environments;Metabolic pathways
EC:1.1.3.15	638.0	7.53819728071183e-15	swab	4.4789455509562793e-13	Microbial metabolism in diverse environments;Glyoxylate and dicarboxylate metabolism;Biosynthesis of antibiotics;Metabolic pathways;Biosynthesis of secondary metabolites
EC:1.1.3.17	373.0	3.6095855989346225e-07	swab	2.3185896685048523e-06	Glycine, serine and threonine metabolism;Metabolic pathways
EC:1.1.3.21	0.0	4.009964816469138e-05	swab	0.00014839644883092535	Glycerophospholipid metabolism;Biosynthesis of secondary metabolites
EC:1.1.3.41	1849.0	0.006384670941506978	swab	0.013588524134613004	Pentose and glucuronate interconversions;Metabolic pathways;Fructose and mannose metabolism
EC:1.1.3.45	0.0	0.06788915486182899	swab	0.10499992931992205	
EC:1.1.3.46	2940.0	0.12551038134870623	swab	0.17957639177584123	
EC:1.1.3.47	0.0	1.7343976283205784e-06	swab	9.29793615783889e-06	Microbial metabolism in diverse environments;Furfural degradation
EC:1.1.3.48	257.0	1.7219445965547744e-05	swab	7.069557566277663e-05	
EC:1.1.3.6	3295.0	0.6703632869608519	swab	0.7308394856316321	
EC:1.1.3.8	901.0	6.583469134975897e-08	skin	4.906634313489005e-07	Ascorbate and aldarate metabolism;Metabolic pathways
EC:1.1.3.9	0.0	0.017960477526078766	swab	0.033640509131595865	Galactose metabolism;Metabolic pathways
EC:1.1.5.2	2320.0	0.0009172060964724983	swab	0.0024740275414308626	Biosynthesis of antibiotics;Biosynthesis of secondary metabolites;Metabolic pathways;Pentose phosphate pathway
EC:1.1.5.3	2321.0	0.0009259449106600917	swab	0.0024944536069293906	Glycerophospholipid metabolism;Biosynthesis of secondary metabolites
EC:1.1.5.4	3058.0	0.17455025354522702	swab	0.23556024752885843	
EC:1.1.5.6	443.0	0.06044101211218558	swab	0.09612143115833827	
EC:1.1.5.8	1940.0	0.1562279648813156	swab	0.2154555879310987	
EC:1.1.9.1	1577.0	9.288276076941596e-07	skin	5.384179547040129e-06	
EC:1.1.98.2	1456.0	0.00037567796116898093	swab	0.0011302041616602675	
EC:1.1.98.3	2154.0	0.03171274144709534	swab	0.05474863111810891	
EC:1.1.99.1	3566.0	0.9915368025059685	skin	0.9943259355650571	
EC:1.1.99.2	206.0	0.5857115693468691	swab	0.6504865248353857	
EC:1.1.99.21	2172.0	0.8195362092082127	swab	0.8568575810157004	
EC:1.1.99.24	206.0	0.5857115693468691	swab	0.6504865248353857	
EC:1.1.99.28	1369.0	4.366414180741241e-05	swab	0.00016103034366561235	
EC:1.1.99.3	1196.0	0.00038487775468790364	swab	0.0011530161306406526	Microbial metabolism in diverse environments;Metabolic pathways;Pentose phosphate pathway
EC:1.1.99.31	398.0	0.012992722022935176	swab	0.025709003151765348	Microbial metabolism in diverse environments;Aminobenzoate degradation
EC:1.10.2.2	2876.0	0.06571586711540015	skin	0.10297893022698969	
EC:1.10.3.11	678.0	0.5786490889310159	swab	0.6446512506372098	
EC:1.10.3.12	667.0	4.6234369199606196e-10	swab	5.619052029429412e-09	
EC:1.10.3.3	54.0	2.3225357931142554e-10	skin	2.9846906647596415e-09	Ascorbate and aldarate metabolism;Metabolic pathways
EC:1.10.9.1	1409.0	1.1292482841800689e-05	swab	4.919474704401563e-05	
EC:1.11.1.10	1791.0	2.3867623009913396e-06	swab	1.2331605221788589e-05	
EC:1.11.1.15	2030.0	4.430727853174564e-05	skin	0.00016312094454286392	Glutathione metabolism;Metabolic pathways
EC:1.11.1.19	2170.0	0.0017401039173888318	swab	0.004353312607362235	
EC:1.11.1.21	2846.0	0.05486912214113449	skin	0.08831079929261602	
EC:1.11.1.5	2376.0	0.001544114737471667	swab	0.0038994822000612698	
EC:1.11.1.6	2096.0	9.276745860451369e-05	swab	0.0003137289847406448	Biosynthesis of antibiotics;Glyoxylate and dicarboxylate metabolism;Tryptophan metabolism;Metabolic pathways;Biosynthesis of secondary metabolites
EC:1.11.1.9	1282.0	1.3004318958773637e-09	skin	1.383892450388896e-08	Glutathione metabolism;Metabolic pathways;Arachidonic acid metabolism
EC:1.11.2.3	0.0	0.17971249487899976	swab	0.2383168174495849	
EC:1.11.2.4	628.0	1.537312350077962e-11	swab	2.7632866527871935e-10	
EC:1.12.1.2	1701.0	0.0005455160362737895	swab	0.0015599716598791921	
EC:1.12.1.3	667.0	2.239435710032265e-14	skin	1.0191814859061734e-12	
EC:1.12.2.1	21.0	0.015085824244536002	swab	0.029070791044200454	
EC:1.12.5.1	74.0	0.6164914109936318	swab	0.6800800041853421	
EC:1.12.7.2	1235.0	0.0006840752524266119	swab	0.0019052564647663057	
EC:1.12.98.1	2302.0	0.27870190416712703	swab	0.35059108679191625	
EC:1.12.99.6	2721.0	0.15243313915961954	swab	0.21076566558657156	
EC:1.13.11.1	2517.0	0.04386086335808976	swab	0.07250261725112364	
EC:1.13.11.11	2457.0	0.003162697368114083	swab	0.007305625993948189	Tryptophan metabolism;Metabolic pathways
EC:1.13.11.14	0.0	5.606116527496013e-06	swab	2.6202949061723515e-05	
EC:1.13.11.15	966.0	1.3513568319276953e-05	swab	5.64560988963543e-05	Tyrosine metabolism;Microbial metabolism in diverse environments;Metabolic pathways
EC:1.13.11.16	1133.0	0.019502091936780735	swab	0.03617950967283087	Phenylalanine metabolism;Microbial metabolism in diverse environments;Metabolic pathways
EC:1.13.11.2	1668.0	4.565087631640896e-07	swab	2.8551820011929465e-06	Xylene degradation;Microbial metabolism in diverse environments;Chlorocyclohexane and chlorobenzene degradation;Metabolic pathways;Benzoate degradation;Styrene degradation
EC:1.13.11.20	323.0	7.775359902605842e-06	swab	3.5087541838974463e-05	Taurine and hypotaurine metabolism;Cysteine and methionine metabolism;Metabolic pathways
EC:1.13.11.24	157.0	0.00013580568010792375	swab	0.00044147165615630537	
EC:1.13.11.25	1375.0	0.5206786914199082	swab	0.5914666600887858	
EC:1.13.11.27	2718.0	0.023862059182132907	swab	0.04314534623041613	Ubiquinone and other terpenoid-quinone biosynthesis;Phenylalanine metabolism;Metabolic pathways;Tyrosine metabolism
EC:1.13.11.3	3283.0	0.4466154043373992	swab	0.520888958493837	
EC:1.13.11.33	177.0	2.0783102216220695e-08	swab	1.7032588368006156e-07	Linoleic acid metabolism;Metabolic pathways;Arachidonic acid metabolism
EC:1.13.11.37	1808.0	0.1974399341662869	swab	0.25830215240470195	
EC:1.13.11.39	0.0	0.17971249487899976	swab	0.2383168174495849	
EC:1.13.11.4	1170.0	1.961230939342395e-10	skin	2.5895512217613476e-09	Tyrosine metabolism;Microbial metabolism in diverse environments;Metabolic pathways
EC:1.13.11.46	49.0	0.5321298884166212	swab	0.6025547016003985	
EC:1.13.11.49	1628.0	4.295833145292547e-07	swab	2.726643055721293e-06	
EC:1.13.11.5	2194.0	0.00026337386468357947	swab	0.0008176439717825493	Tyrosine metabolism;Microbial metabolism in diverse environments;Metabolic pathways;Styrene degradation
EC:1.13.11.52	815.0	0.9271986835493116	swab	0.9439685788253106	
EC:1.13.11.53	3181.0	0.5591943022696058	swab	0.626567109771968	
EC:1.13.11.54	3181.0	0.5591943022696058	swab	0.626567109771968	
EC:1.13.11.56	0.0	0.002217721464237049	swab	0.0053480340608828055	Microbial metabolism in diverse environments;Naphthalene degradation;Metabolic pathways
EC:1.13.11.57	326.0	0.0758949139362761	swab	0.11595658636406758	
EC:1.13.11.6	2378.0	0.3236545952123585	swab	0.3985591129298992	
EC:1.13.11.66	0.0	0.017960477526078766	swab	0.033640509131595865	
EC:1.13.11.75	292.0	3.0830168285352666e-10	skin	3.811891905339269e-09	
EC:1.13.11.79	2161.0	0.00018667238366951557	swab	0.0005871944539251379	Riboflavin metabolism;Metabolic pathways
EC:1.13.11.8	3147.0	0.8332258937586186	swab	0.8685527225875659	
EC:1.13.11.80	0.0	0.17971249487899976	swab	0.2383168174495849	
EC:1.13.11.9	1010.0	0.012575316062877824	swab	0.024963153963963248	Nicotinate and nicotinamide metabolism;Microbial metabolism in diverse environments;Metabolic pathways
EC:1.13.12.16	2790.0	0.038601243771540526	skin	0.0652711940136958	
EC:1.13.12.3	1423.0	0.03769984832801896	swab	0.06399998061399409	
EC:1.13.12.4	1116.0	0.03448714568741622	swab	0.05925140933765727	
EC:1.13.99.1	327.0	0.002723440735643718	swab	0.0064086245693530395	Ascorbate and aldarate metabolism;Metabolic pathways;Inositol phosphate metabolism
EC:1.14.11.1	44.0	0.004249712772041343	swab	0.009478764983729336	Lysine degradation
EC:1.14.11.16	0.0	0.011718685599768628	swab	0.023448333487282598	
EC:1.14.11.17	3083.0	0.19655393643538288	swab	0.25761572918828674	
EC:1.14.11.18	1289.0	0.02696324558574279	swab	0.047783249633723136	
EC:1.14.11.2	3230.0	0.45128856024773256	skin	0.5254797116874795	
EC:1.14.11.33	3102.0	0.27263874557471257	swab	0.3438527575379187	
EC:1.14.11.47	2710.0	0.03157877878250428	swab	0.05456139565086967	
EC:1.14.12.1	1368.0	0.006255170355457078	swab	0.01334300705256028	Microbial metabolism in diverse environments;Aminobenzoate degradation;Metabolic pathways
EC:1.14.12.10	1674.0	9.402272791412224e-06	swab	4.148960743301408e-05	Microbial metabolism in diverse environments;Metabolic pathways;Benzoate degradation;Fluorobenzoate degradation
EC:1.14.12.12	193.0	0.0020866765722624006	swab	0.005118579344116141	Ethylbenzene degradation;Microbial metabolism in diverse environments;Polycyclic aromatic hydrocarbon degradation;Metabolic pathways;Naphthalene degradation
EC:1.14.12.15	0.0	0.017960477526078766	swab	0.033640509131595865	Microbial metabolism in diverse environments;Polycyclic aromatic hydrocarbon degradation;Metabolic pathways
EC:1.14.12.17	2872.0	0.06417472181801853	swab	0.10108227538198943	
EC:1.14.12.18	34.0	4.173710231673556e-06	swab	2.015251960620708e-05	Microbial metabolism in diverse environments;Dioxin degradation;Metabolic pathways
EC:1.14.12.19	233.0	1.9132956271901038e-10	skin	2.5419499046954236e-09	Phenylalanine metabolism;Microbial metabolism in diverse environments;Metabolic pathways
EC:1.14.12.4	0.0	0.017960477526078766	swab	0.033640509131595865	
EC:1.14.12.7	276.0	0.001374075252055176	swab	0.0035368796199109764	Microbial metabolism in diverse environments;Polycyclic aromatic hydrocarbon degradation;Metabolic pathways
EC:1.14.13.1	2439.0	0.0027069112332064075	swab	0.006376743532850777	Microbial metabolism in diverse environments;Dioxin degradation;Polycyclic aromatic hydrocarbon degradation;Metabolic pathways;Naphthalene degradation
EC:1.14.13.10	172.0	0.0013789141248666404	swab	0.003545068885925173	Nicotinate and nicotinamide metabolism;Microbial metabolism in diverse environments
EC:1.14.13.107	726.0	0.015338907652638331	swab	0.0295318843105251	Limonene and pinene degradation
EC:1.14.13.113	1273.0	0.0007459353957841324	swab	0.0020534823829887507	Microbial metabolism in diverse environments;Purine metabolism;Metabolic pathways
EC:1.14.13.114	294.0	0.0116435255479085	swab	0.023448333487282598	Nicotinate and nicotinamide metabolism;Microbial metabolism in diverse environments;Metabolic pathways
