Accession	Sample Name	SPUID	Organism	Tax ID	BioProject
SAMN12566222	AS174	AS174	skin metagenome	1338477	PRJNA560003
SAMN12566223	AS175	AS175	skin metagenome	1338477	PRJNA560003
SAMN12566224	AS176	AS176	skin metagenome	1338477	PRJNA560003
SAMN12566225	AS167	AS167	skin metagenome	1338477	PRJNA560003
SAMN12566226	AS168	AS168	skin metagenome	1338477	PRJNA560003
SAMN12566227	AS169	AS169	skin metagenome	1338477	PRJNA560003
SAMN12566228	AS170	AS170	skin metagenome	1338477	PRJNA560003
SAMN12566229	AS171	AS171	skin metagenome	1338477	PRJNA560003
SAMN12566230	AS165	AS165	skin metagenome	1338477	PRJNA560003
SAMN12566231	AS166	AS166	skin metagenome	1338477	PRJNA560003
SAMN12566232	AS164	AS164	skin metagenome	1338477	PRJNA560003
SAMN12566233	AS177	AS177	skin metagenome	1338477	PRJNA560003
SAMN12566234	AS178	AS178	skin metagenome	1338477	PRJNA560003
SAMN12566235	AS179	AS179	skin metagenome	1338477	PRJNA560003
SAMN12566236	AS180	AS180	skin metagenome	1338477	PRJNA560003
SAMN12566237	AS181	AS181	skin metagenome	1338477	PRJNA560003
SAMN12566238	AS182	AS182	skin metagenome	1338477	PRJNA560003
SAMN12566239	AS183	AS183	skin metagenome	1338477	PRJNA560003
SAMN12566240	AS147BC23	AS147BC23	skin metagenome	1338477	PRJNA560003
SAMN12566241	AS149	AS149	skin metagenome	1338477	PRJNA560003
SAMN12566242	AS150	AS150	skin metagenome	1338477	PRJNA560003
SAMN12566243	AS151	AS151	skin metagenome	1338477	PRJNA560003
SAMN12566244	AS152	AS152	skin metagenome	1338477	PRJNA560003
SAMN12566245	AS153	AS153	skin metagenome	1338477	PRJNA560003
SAMN12566246	AS154	AS154	skin metagenome	1338477	PRJNA560003
SAMN12566247	AS155	AS155	skin metagenome	1338477	PRJNA560003
SAMN12566248	AS156	AS156	skin metagenome	1338477	PRJNA560003
SAMN12566249	AS157	AS157	skin metagenome	1338477	PRJNA560003
SAMN12566250	AS159	AS159	skin metagenome	1338477	PRJNA560003
SAMN12566251	AS160	AS160	skin metagenome	1338477	PRJNA560003
SAMN12566252	AS161	AS161	skin metagenome	1338477	PRJNA560003
SAMN12566253	AS162	AS162	skin metagenome	1338477	PRJNA560003
SAMN12566254	AS163	AS163	skin metagenome	1338477	PRJNA560003
SAMN12566255	AS158	AS158	skin metagenome	1338477	PRJNA560003
SAMN12566256	AS146BC22	AS146BC22	skin metagenome	1338477	PRJNA560003
SAMN12566257	AS192	AS192	skin metagenome	1338477	PRJNA560003
SAMN12566258	AS193	AS193	skin metagenome	1338477	PRJNA560003
SAMN12566259	AS194	AS194	skin metagenome	1338477	PRJNA560003
SAMN12566260	AS195	AS195	skin metagenome	1338477	PRJNA560003
SAMN12566261	AS196	AS196	skin metagenome	1338477	PRJNA560003
SAMN12566262	AS184	AS184	skin metagenome	1338477	PRJNA560003
SAMN12566263	AS185	AS185	skin metagenome	1338477	PRJNA560003
SAMN12566264	AS186	AS186	skin metagenome	1338477	PRJNA560003
SAMN12566265	AS187	AS187	skin metagenome	1338477	PRJNA560003
SAMN12566266	AS188	AS188	skin metagenome	1338477	PRJNA560003
SAMN12566267	AS189	AS189	skin metagenome	1338477	PRJNA560003
SAMN12566268	AS190	AS190	skin metagenome	1338477	PRJNA560003
SAMN12566269	AS191	AS191	skin metagenome	1338477	PRJNA560003
SAMN12566270	AS148BC24	AS148BC24	skin metagenome	1338477	PRJNA560003
SAMN12566271	AS122	AS122	skin metagenome	1338477	PRJNA560003
SAMN12566272	AS123	AS123	skin metagenome	1338477	PRJNA560003
SAMN12566273	AS124	AS124	skin metagenome	1338477	PRJNA560003
SAMN12566274	AS125	AS125	skin metagenome	1338477	PRJNA560003
SAMN12566275	AS119	AS119	skin metagenome	1338477	PRJNA560003
SAMN12566276	AS120	AS120	skin metagenome	1338477	PRJNA560003
SAMN12566277	AS121	AS121	skin metagenome	1338477	PRJNA560003
SAMN12566278	AS118BC19	AS118BC19	skin metagenome	1338477	PRJNA560003
SAMN12566279	AS58	AS58	skin metagenome	1338477	PRJNA560003
SAMN12566280	AS59	AS59	skin metagenome	1338477	PRJNA560003
SAMN12566281	AS60	AS60	skin metagenome	1338477	PRJNA560003
SAMN12566282	AS61	AS61	skin metagenome	1338477	PRJNA560003
SAMN12566283	AS62	AS62	skin metagenome	1338477	PRJNA560003
SAMN12566284	AS94BC14	AS94BC14	skin metagenome	1338477	PRJNA560003
SAMN12566285	AS70	AS70	skin metagenome	1338477	PRJNA560003
SAMN12566286	AS71	AS71	skin metagenome	1338477	PRJNA560003
SAMN12566287	AS72	AS72	skin metagenome	1338477	PRJNA560003
SAMN12566288	AS73	AS73	skin metagenome	1338477	PRJNA560003
SAMN12566289	AS68	AS68	skin metagenome	1338477	PRJNA560003
SAMN12566290	AS69	AS69	skin metagenome	1338477	PRJNA560003
SAMN12566291	AS67	AS67	skin metagenome	1338477	PRJNA560003
SAMN12566292	AS141	AS141	skin metagenome	1338477	PRJNA560003
SAMN12566293	AS142	AS142	skin metagenome	1338477	PRJNA560003
SAMN12566294	AS143	AS143	skin metagenome	1338477	PRJNA560003
SAMN12566295	AS144	AS144	skin metagenome	1338477	PRJNA560003
SAMN12566296	AS145	AS145	skin metagenome	1338477	PRJNA560003
SAMN12566297	AS63	AS63	skin metagenome	1338477	PRJNA560003
SAMN12566298	AS64	AS64	skin metagenome	1338477	PRJNA560003
SAMN12566299	AS65	AS65	skin metagenome	1338477	PRJNA560003
SAMN12566300	AS66	AS66	skin metagenome	1338477	PRJNA560003
SAMN12566301	AS95BC15	AS95BC15	skin metagenome	1338477	PRJNA560003
